,Season,Gameday,Link,Score,Minute,Player
551,2004,13,677787,0,51,9079
552,2004,13,677787,-1,53,25733
553,2004,13,677787,0,72,27646
554,2004,13,677781,1,66,24378
555,2004,13,677781,0,76,29270
556,2004,13,677781,-1,81,29270
557,2004,13,677781,-2,82,25415
558,2004,13,677785,-1,20,26807
559,2004,13,677785,-2,35,1833
560,2004,13,677785,-3,42,27558
561,2004,13,677785,-4,47,24618
562,2004,13,677785,-5,63,1833
563,2004,13,677785,-6,83,27628
564,2004,14,677788,1,19,1823
565,2004,14,677789,-1,7,999
566,2004,14,677789,0,12,24314
567,2004,14,677789,1,27,510
568,2004,14,677789,2,63,29270
569,2004,14,677790,1,3,29619
570,2004,14,677790,2,81,26482
571,2004,14,677791,1,45,24866
572,2004,14,677791,2,77,23753
573,2004,14,677791,1,83,9126
574,2004,14,677792,-1,27,22575
575,2004,14,677792,-2,37,22645
576,2004,14,677792,-3,71,26563
577,2004,14,677793,-1,36,29700
578,2004,14,677793,0,90,26483
579,2004,14,677795,1,57,25173
580,2004,14,677794,-1,1,1185
581,2004,14,677794,0,40,27975
582,2004,14,677794,1,45,63
583,2004,14,677794,2,90,27628
584,2004,14,677796,-1,56,1757
585,2004,14,677796,0,81,29757
586,2004,15,677797,1,44,23263
587,2004,15,677797,2,70,23263
588,2004,15,677797,3,87,23141
589,2004,15,677798,1,14,24314
590,2004,15,677798,2,35,368
591,2004,15,677798,3,45,25031
592,2004,15,677798,2,84,6000
593,2004,15,677798,3,88,1666
594,2004,15,677798,2,90,29846
595,2004,15,677799,1,22,24378
596,2004,15,677799,2,42,21734
597,2004,15,677799,3,50,24378
598,2004,15,677799,2,65,29757
599,2004,15,677801,-1,40,63
600,2004,15,677801,-2,44,71
601,2004,15,677801,-1,46,26912
602,2004,15,677801,-2,82,63
603,2004,15,677802,-1,16,26483
604,2004,15,677802,-2,47,26483
605,2004,15,677802,-1,50,430
606,2004,15,677802,0,68,1185
607,2004,15,677802,-1,74,26483
608,2004,15,677803,-1,36,25733
609,2004,15,677803,-2,64,9079
610,2004,15,677805,1,31,24533
611,2004,15,677805,2,55,29735
612,2004,15,677804,-1,20,23695
613,2004,15,677804,0,28,9110
614,2004,15,677804,1,38,22645
615,2004,16,677807,-1,20,23709
616,2004,16,677807,-2,23,23709
617,2004,16,677807,-3,29,26356
618,2004,16,677807,-4,58,26356
619,2004,16,677807,-5,63,24533
620,2004,16,677807,-6,87,26356
621,2004,16,677809,-1,52,24840
622,2004,16,677809,0,64,23091
623,2004,16,677810,-1,4,27607
624,2004,16,677810,0,46,9079
625,2004,16,677810,1,89,28275
626,2004,16,677811,1,38,260
627,2004,16,677811,2,54,28615
628,2004,16,677811,3,63,29031
629,2004,16,677811,4,71,1654
630,2004,16,677811,5,79,1654
631,2004,16,677811,6,81,26483
632,2004,16,677812,-1,19,22689
633,2004,16,677812,-2,59,1757
634,2004,16,677813,1,5,21734
635,2004,16,677813,2,23,25173
636,2004,16,677813,1,33,30194
637,2004,16,677813,0,59,22675
638,2004,16,677813,1,69,25271
639,2004,16,677813,2,75,263
640,2004,16,677813,3,81,25173
641,2004,16,677814,1,23,29757
642,2004,16,677814,0,26,25031
643,2004,16,677814,-1,60,21698
644,2004,16,677814,0,74,25274
645,2004,16,677806,1,20,26148
646,2004,16,677806,2,59,29255
647,2004,16,677808,-1,17,22645
648,2004,17,677815,-1,11,144
649,2004,17,677816,-1,29,263
650,2004,17,677816,-2,65,25173
651,2004,17,677816,-1,67,24314
652,2004,17,677816,0,88,29270
653,2004,17,677817,-1,26,63
654,2004,17,677817,-2,34,26807
655,2004,17,677817,-1,83,30865
656,2004,17,677818,-1,54,28615
657,2004,17,677821,1,32,25120
658,2004,17,677821,0,40,22042
659,2004,17,677822,1,24,25017
660,2004,17,677822,0,87,26778
661,2004,17,677823,-1,48,378
662,2004,17,677823,0,59,23156
663,2004,17,677819,-1,57,25733
664,2004,17,677819,0,69,29746
665,2004,17,677820,1,14,27508
666,2004,17,677820,2,26,27607
667,2004,17,677820,3,37,1185
668,2004,17,677820,4,40,1185
669,2004,17,677820,5,67,26228
670,2004,18,677830,1,22,24314
671,2004,18,677830,2,48,27701
672,2004,18,677830,3,55,25031
673,2004,18,677824,-1,51,26536
674,2004,18,677824,-2,60,1738
675,2004,18,677824,-1,66,23859
676,2004,18,677824,-2,84,1043
677,2004,18,677826,-1,55,26073
678,2004,18,677826,-2,60,25041
679,2004,18,677826,-1,82,27812
680,2004,18,677827,1,52,24523
681,2004,18,677831,1,13,22052
682,2004,18,677831,0,51,1242
683,2004,18,677831,-1,54,25271
684,2004,18,677831,-2,66,27472
685,2004,18,677831,-1,90,26681
686,2004,18,677832,1,48,22057
687,2004,18,677832,0,51,29735
688,2004,18,677832,1,67,22645
689,2004,18,677828,-1,18,9079
690,2004,18,677828,-2,36,25733
691,2004,18,677828,-3,58,23504
692,2004,18,677829,-1,3,28615
693,2004,18,677829,-2,16,30895
694,2004,18,677829,-1,39,22574
695,2004,18,677829,0,79,24378
696,2004,19,677833,1,31,63
697,2004,19,677833,0,40,22934
698,2004,19,677833,1,78,25206
699,2004,19,677835,1,28,22814
700,2004,19,677835,2,31,9079
701,2004,19,677835,3,70,22819
702,2004,19,677835,4,78,23504
703,2004,19,677836,-1,29,1757
704,2004,19,677837,1,29,25041
705,2004,19,677837,0,49,22928
